F1,F2,F3,F4,F5,F6,F7,F8,F9,RMSD
13558.3,4305.35,0.31754,162.173,1872790.507,215.359,4287.87,102,27.0302,17.284
6191.96,1623.16,0.26213,53.3894,803446.6966,87.2024,3328.91,39,38.5468,6.021
7725.98,1726.28,0.22343,67.2887,1075647.57,81.7913,2981.04,29,38.8119,9.275
8424.58,2368.25,0.28111,67.8325,1210471.63,109.439,3248.22,70,39.0651,15.851
7460.84,1736.94,0.2328,52.4123,1021019.667,94.5234,2814.42,41,39.9147,7.962
5117.3,1120.99,0.21905,51.6732,672722.6969,79.5911,3234.21,15,41.2382,1.7
5924.16,1625.27,0.27434,70.2103,828514.514,76.8064,2821.4,70,39.4964,9.314
6882.15,1791.22,0.26027,77.2501,916516.5154,96.6785,3490.88,74,37.4203,1.985
12090,4190.74,0.34662,129.002,1687508.047,186.309,4262.78,39,30.3916,1.915
7400.24,1881.95,0.2543,82.932,1023845.558,104.697,3852.4,26,35.414,1.495
6556.77,1612.77,0.24597,71.6315,891544.3167,93.5329,3161.33,76,38.0433,12.118
8828.21,2658.63,0.30115,90.8578,1233384.323,123.686,3194.3,22,37.2413,0.884
5637.37,2665.83,0.47288,49.8566,771635.4595,95.7431,2177.61,7,41.5268,7.913
9021.1,3097.91,0.3434,98.1155,1244159.792,121.348,3396.4,32,37.0667,14.103
17572.2,5226.42,0.29742,227.769,2434431.086,296.8,4876,122,26.8169,6.581
12330.6,4380.2,0.35523,195.93,1710154.877,232.154,4321.41,164,30.4491,6.11
8478.55,2206.94,0.26029,91.5054,1199770.2,128.166,3996.13,164,33.5263,1.339
9147.09,2828.26,0.30919,104.05,1291446.527,131.358,3595.69,17,35.5938,2.554
3905.51,1102.49,0.28229,34.2034,564398.7871,48.1646,1834.36,13,44.5123,3.805
15620.9,5834.18,0.37348,153.476,2184644.977,251.225,5441.5,101,26.0101,18.645
18679,5966.18,0.3194,179.757,2650896.66,268.661,6149.89,213,23.8081,8.114
13605.5,4766.37,0.35032,139.793,1925984.774,182.195,4672.34,112,26.454,18.404
8693.56,3265.99,0.37567,55.4973,1258363.384,126.928,4890.54,15,36.3849,19.379
7727.36,1370.27,0.17732,77.5656,1035613.72,103.177,3130.45,27,37.1829,17.598
8865.32,3317.32,0.37419,95.8075,1223687.688,122.748,3509.39,38,36.7233,16.102
8259.29,2719.28,0.32923,76.1237,1087132.699,122.143,3763.75,58,35.5364,14.923
7136.22,2645.28,0.37068,64.1673,1032920.167,93.2759,3213.99,28,34.6186,1.655
6922.15,2143.02,0.30958,63.6012,989631.0485,91.6472,3146.95,31,38.8427,4.128
6449.78,1439.3,0.22315,74.7722,849784.4944,90.5322,3393.06,80,38.21,1.477
13274.3,3989.12,0.30051,169.746,1855447.617,198.644,5089.76,67,26.6638,2.165
11155.6,3383.81,0.30332,142.703,1573166.419,159.059,4251.55,133,29.6432,16.897
11065.9,2869.88,0.25934,136.217,1521525.754,165.503,4450.72,96,31.5521,1.875
14255.6,3036.48,0.213,177.375,2014077.169,216.182,4906.57,68,27.2363,2.961
5687.57,1392.65,0.24485,50.4035,792414.6209,62.2368,2799,29,41.8993,10.322
5604.18,1379.29,0.24611,51.2823,733127.7429,88.9084,3556.88,22,40.9181,2.243
12178.9,3893.46,0.31968,168.83,1721985.831,212.393,4638.08,101,29.4849,2.763
11904,3159.63,0.26542,146.12,1699204.158,173.975,4729.37,23,28.8602,1.748
13339.8,5612.72,0.42074,137.687,1857627.075,202.768,4782.8,97,30.1194,8.331
8103.71,2485.18,0.30667,69.219,1142647.041,114.831,3110.95,35,33.9611,15.752
3765.85,1173.67,0.31166,36.1042,513417.2226,48.2496,1387.7,17,44.3268,1.975
6390.08,2063.85,0.32297,53.3978,872065.7572,81.8471,2463.51,43,40.4188,14.882
19206.8,6204.77,0.32305,264.764,2613629.666,323.4,5824.63,327,20.992,2.795
6666.05,1686.88,0.25305,65.9476,939714.1696,82.0352,3281.68,24,38.3151,5.16
7848.69,2814.13,0.35854,69.4373,1060209.117,110.639,4161.36,67,32.2311,14.809
13718.6,3715.87,0.27086,154.948,1897518.618,218.768,5416.61,215,25.7936,3.422
9146.98,3036.24,0.33193,98.1126,1253333.905,145.759,3718.51,34,32.8273,7.039
7320.95,1721.31,0.23512,83.8564,1013466.199,107.91,3835.84,17,36.1333,1.452
9286.4,1973.48,0.21251,92.7215,1299052.648,120.727,4154.38,37,34.1534,1.872
14751.2,3844.49,0.26062,129.951,1982604.297,203.858,4734.76,141,28.8851,5.355
12994.3,3594.77,0.27664,127.696,1780330.3,178.654,4162.11,31,31.8839,4.634
10112.5,3631.53,0.35911,91.7464,1408549.422,139.366,3681.97,91,35.4758,19.749
